hhnum,food_insecure_flag_adult,adltfscat,foodsufficient,poverty_ratio,poverty_band,snap_any,foodpantry,household_size,num_adults,num_children,num_elderly,employed_adults,any_employed_adult,head_age,head_sex,head_hispanic,head_racecat,head_educcat,head_employment,region,rural,nonmetro,anyvehicle,vehiclenum,caraccess,dist_sm,dist_cs,dist_walmart,nearsnap_dist,nearff_dist,nearnonff_dist,fah_event_count,fah_storetype_unique,fafh_event_count,fafh_schoolmeal_events,targetgroup,hhwgt
100927,1,4,2,0.059086839749328594,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,27.5,2,0,2,3.0,3,3,0,0,0,-996,-996,0.83,0.59,3.57,0.12,0.26,0.16,2.0,0.0,3.0,0.0,4,12823.8215744323
100928,0,1,1,10.0,>4.0 (higher),True,0,2,2,0,0,2,1,47.5,2,0,1,6.0,1,3,0,0,1,3,-996,0.56,0.71,2.89,0.17,0.44,0.13,3.0,0.0,3.0,0.0,3,34351.2991347857
100929,0,1,1,1.04954446854664,1.0-1.3 (near poverty),True,0,4,2,2,0,1,1,47.5,1,1,5,1.0,1,3,0,0,1,1,-996,1.5,0.7,1.3,0.17,0.15,0.08,5.0,0.0,10.0,0.0,4,25165.8825762662
100933,0,1,1,2.09489704565801,2.0-4.0 (moderate),True,0,1,1,0,0,1,1,27.5,1,0,1,4.0,1,2,0,0,1,1,-996,0.42,1.61,0.07,0.07,0.1,0.14,4.0,0.0,13.0,0.0,3,45195.6654698395
100934,0,1,1,3.19153998678123,2.0-4.0 (moderate),False,0,2,2,0,2,0,0,85.0,1,0,1,3.0,5,2,1,0,1,2,-996,5.27,8.63,4.6,4.43,4.57,3.25,1.0,0.0,3.0,0.0,3,9813.42674756834
100939,1,4,4,0.998030438675022,<=1.0 (at/below poverty),False,0,1,1,0,0,0,0,47.5,2,0,2,3.0,5,3,0,0,1,1,-996,0.37,0.34,1.29,0.29,0.25,0.24,3.0,0.0,9.0,0.0,4,33803.3771368608
100948,0,1,2,2.56100462656973,2.0-4.0 (moderate),False,0,2,2,0,2,0,0,68.0,2,0,1,5.0,5,3,0,0,1,3,-996,0.87,0.66,1.75,0.61,0.67,0.65,3.0,0.0,4.0,0.0,3,8019.38773157255
100953,0,1,1,0.749865711727842,<=1.0 (at/below poverty),True,0,1,1,0,0,0,0,62.5,2,1,1,5.0,5,3,0,0,1,1,-996,0.77,0.8,2.59,0.34,0.6,0.41,7.0,0.0,1.0,0.0,1,12939.8964180743
100958,0,1,2,3.80700594844679,2.0-4.0 (moderate),True,0,2,2,0,0,2,1,47.5,2,0,1,3.0,1,1,1,0,1,4,-996,3.07,0.84,2.86,0.84,1.76,0.83,2.0,0.0,3.0,0.0,3,29811.1522462565
100974,1,3,2,0.13183087031378102,<=1.0 (at/below poverty),True,1,2,2,0,0,0,0,47.5,2,0,1,3.0,5,2,0,0,1,1,-996,1.13,0.94,3.58,0.06,0.55,0.53,1.0,0.0,0.0,0.0,4,13020.7654996347
